Sale_ID,Customer_ID,Book_ID,Date_ID,Quantity_Sold,Sale_Amount,Discount_Applied
900951,465,156,20230812,5,120.6701971292641,5.51298196313934
863472,900,52,20231227,5,390.7332718851769,4.165649414261719
219504,201,227,20230805,4,347.723690739123,24.604184544291478
853356,877,339,20230919,5,106.85802307150115,0.908842233209576
687048,74,335,20230812,4,298.756658888732,28.066285478880687
824626,350,309,20230902,5,437.9396889258769,3.4353050585987517
171781,414,15,20230623,4,76.89218016643953,5.331897685905406
792891,512,78,20230503,4,220.34284136577293,12.946635739549098
364902,911,60,20230801,2,76.90373581389045,4.208410450996702
875431,601,4,20230815,2,195.50634610635043,3.5914382397517706
555602,514,203,20230729,1,47.436273689078675,3.6180038401747576
64012,603,72,20230316,5,297.6312449431889,4.721218611154501
838667,537,386,20230805,4,308.94926218561505,23.651388803991892
417754,191,342,20230418,3,58.78887796629485,5.480707008258274
787654,351,59,20230223,4,207.77321515302427,2.0720490853464444
48269,400,92,20230609,4,233.81039096509429,1.6391904642630049
88898,734,121,20230311,2,147.51961651027227,11.325559211002362
611996,794,356,20230711,2,40.461174217395,3.6729883319815344
93310,71,387,20230522,5,167.20587199373387,9.526362607271908
986826,11,374,20231218,5,293.3450988527393,12.380233518372782
972907,417,349,20230927,5,79.33497323255162,5.815623955929487
957066,226,176,20230911,5,151.4307960643912,11.269090023970202
166152,687,56,20230323,4,283.38985792615205,6.326844246350382
177976,243,3,20230603,4,49.93461276182357,1.6277877057533716
301834,420,356,20230129,5,164.55763005728485,0.8851965208554783
680034,764,372,20230412,1,75.62643283811818,5.4009870170953205
636555,658,402,20230726,5,113.9434398774512,9.76291685333376
576442,545,29,20230111,1,88.83445383485383,2.6088981984294115
132111,480,375,20230806,1,24.59466261537707,1.3094583149212393
567480,821,230,20230730,1,11.554554838733306,0.48674175715096396
45001,998,155,20230531,4,200.9071040169084,6.596064618972899
570279,136,319,20230919,1,16.745924067685763,0.6661811512891123
436231,683,473,20230518,4,390.4346595072644,31.586981638382355
920310,567,154,20231126,3,200.17496061904077,7.725556841840621
610463,420,31,20230506,3,122.05854004145989,1.2262800472876865
741534,645,152,20230817,4,319.31451257248744,8.431335515218205
840708,380,136,20231123,4,271.6152785014334,15.227523985201596
203523,63,110,20230110,2,92.60854672088547,4.633404807124654
654392,291,94,20230316,5,467.0727405571714,7.112142665288687
727391,260,77,20230802,5,334.3669712407467,28.869591446965032
144880,872,485,20230630,5,233.03254606053673,1.0185081700843726
